Keyword,Subregion,Interest
Shirts,Mississippi,100
Shirts,Louisiana,97
Shirts,Alabama,91
Shirts,Arkansas,80
Shirts,Texas,75
Shirts,South Carolina,74
Shirts,West Virginia,72
Shirts,Hawaii,71
Shirts,Kansas,71
Shirts,Oklahoma,71
Tops,New York,100
Tops,New Jersey,75
Tops,Pennsylvania,72
Tops,Louisiana,71
Tops,Connecticut,70
Tops,Delaware,70
Tops,Mississippi,68
Tops,Rhode Island,68
Tops,Alabama,67
Tops,Arkansas,67
Jeans,New York,100
Jeans,Mississippi,99
Jeans,Louisiana,96
Jeans,Arkansas,95
Jeans,Alabama,94
Jeans,California,92
Jeans,District of Columbia,92
Jeans,Illinois,92
Jeans,New Jersey,92
Jeans,Connecticut,91
T-shirts,South Dakota,100
T-shirts,Mississippi,96
T-shirts,Louisiana,86
T-shirts,Arkansas,84
T-shirts,New Mexico,84
T-shirts,Alabama,83
T-shirts,New York,81
T-shirts,Iowa,80
T-shirts,South Carolina,80
T-shirts,Oklahoma,79
Polo,New York,100
Polo,New Jersey,89
Polo,Mississippi,88
Polo,South Carolina,82
Polo,Georgia,79
Polo,Louisiana,79
Polo,Delaware,78
Polo,District of Columbia,77
Polo,Texas,76
Polo,Alabama,71
Pants,New York,100
Pants,Pennsylvania,99
Pants,Alabama,96
Pants,New Jersey,93
Pants,District of Columbia,92
Pants,Mississippi,92
Pants,Maryland,91
Pants,Connecticut,90
Pants,Georgia,90
Pants,Rhode Island,90
Tanks,Mississippi,100
Tanks,New Hampshire,96
Tanks,Idaho,81
Tanks,Oklahoma,80
Tanks,Montana,74
Tanks,Arizona,72
Tanks,Colorado,71
Tanks,Nebraska,68
Tanks,Missouri,66
Tanks,Maine,65
Shorts,Louisiana,100
Shorts,Hawaii,82
Shorts,Florida,81
Shorts,Alabama,79
Shorts,Texas,73
Shorts,Mississippi,72
Shorts,Arizona,66
Shorts,South Carolina,66
Shorts,Georgia,65
Shorts,California,61
Joggers,New Jersey,100
Joggers,Illinois,97
Joggers,Mississippi,95
Joggers,Michigan,94
Joggers,Pennsylvania,88
Joggers,Alabama,87
Joggers,Connecticut,87
Joggers,North Dakota,87
Joggers,Minnesota,86
Joggers,New York,85
Sweaters,New York,100
Sweaters,Connecticut,96
Sweaters,Vermont,87
Sweaters,Rhode Island,85
Sweaters,Massachusetts,83
Sweaters,New Hampshire,79
Sweaters,New Jersey,71
Sweaters,Maine,69
Sweaters,Idaho,67
Sweaters,District of Columbia,66
Jackets,New York,100
Jackets,New Jersey,74
Jackets,Connecticut,73
Jackets,Alaska,69
Jackets,Massachusetts,65
Jackets,New Hampshire,65
Jackets,Delaware,64
Jackets,District of Columbia,64
Jackets,Pennsylvania,63
Jackets,Montana,62
Sweatshirts,New Hampshire,100
Sweatshirts,North Dakota,97
Sweatshirts,Connecticut,96
Sweatshirts,Maine,96
Sweatshirts,Minnesota,94
Sweatshirts,Montana,89
Sweatshirts,Massachusetts,87
Sweatshirts,Iowa,86
Sweatshirts,West Virginia,85
Sweatshirts,Vermont,84
Sweatpants,New Jersey,100
Sweatpants,Connecticut,96
Sweatpants,Delaware,94
Sweatpants,New York,89
Sweatpants,Pennsylvania,88
Sweatpants,Maryland,80
Sweatpants,Massachusetts,78
Sweatpants,Rhode Island,73
Sweatpants,District of Columbia,63
Sweatpants,Illinois,57
hoodies,Delaware,100
hoodies,New York,97
hoodies,Pennsylvania,86
hoodies,New Jersey,85
hoodies,Connecticut,82
hoodies,West Virginia,79
hoodies,Maryland,73
hoodies,Illinois,67
hoodies,Alaska,65
hoodies,Utah,65
underwear,Montana,100
underwear,Alaska,92
underwear,Wyoming,91
underwear,Oregon,88
underwear,South Dakota,88
underwear,New Mexico,86
underwear,Vermont,86
underwear,Wisconsin,86
underwear,New Hampshire,83
underwear,Maine,82
socks,New York,100
socks,Colorado,96
socks,Connecticut,95
socks,Vermont,95
socks,Washington,91
socks,Illinois,90
socks,Kansas,90
socks,Minnesota,90
socks,Rhode Island,90
socks,Maine,89
