position,title,link,product_link,product_id,serpapi_product_api,number_of_comparisons,comparison_link,serpapi_product_api_comparisons,source,price,extracted_price,rating,reviews,badge,thumbnail,delivery,old_price,extracted_old_price,tag,extensions,store_rating,second_hand_condition,Query_List,Query,Proxy_rating,Proxy_reviews,Discount,Promo_1,Promo_2,Proxy_store,Proxy_seller_1,Proxy_seller_2,Proxy_seller_3,Proxy_seller_4,Proxy_seller_5,Proxy_seller_6,Proxy_seller_7,store_reviews,alternative_price
1,Banana Republic Men's Long Sleeve Double Knit Crewneck Tan,https://www.ebay.com/itm/235149715285?chn=ps&mkevt=1&mkcid=28&var=535139435349&srsltid=AfmBOopmVas0BJmyJXPFWT6AdL3rlZqlDqXo9jTRKrunue2mz8ILsKrmIr4&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,https://www.google.com/shopping/product/12113839533347831605?gl=us,12113839533347831605,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=12113839533347831605,5+,"https://www.google.com/shopping/product/12113839533347831605/offers?hl=en&q=banana+republic+shirts&gl=us&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&prds=eto:4770066996146990407_0,pid:7227160636068457389,rsk:PC_493074786184667519&sa=X&ved=0ahUKEwjHjJ7DiNaBAxXORvEDHZikAEYQ3q4ECPoQ",https://serpapi.com/search.json?engine=google_product&filter=eto%3A4770066996146990407_0%2Cpid%3A7227160636068457389%2Crsk%3APC_493074786184667519&gl=us&offers=1&product_id=12113839533347831605&sa=X&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&ved=0ahUKEwjHjJ7DiNaBAxXORvEDHZikAEYQ3q4ECPoQ,eBay - ewirelessgear,,22.99,4.4,11.0,Top Quality Store,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTePlkddMuPabdhFLMT0kK7d3hIft81PVamvLMNur4DllG-pvjNRDD0oAmGtZin9RWrkvmf5LJQuVFaleTiaQ6UjiSFxKXSvBhtTKxgd2I&usqp=CAE,Free delivery & Free 30-day returns,,,,,,,ban_q,banana republic shirts,4.4,11.0,0.0,0,0,1,0,0,0,0,0,1,0,,
2,Banana Republic Factory Men's Graphic T-Shirt White Regular Size M,https://bananarepublicfactory.gapfactory.com/browse/product.do?pid=579702011&vid=1&tid=bfns000001,https://www.google.com/shopping/product/4044107960380810093?gl=us,4044107960380810093,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=4044107960380810093,,,,Banana Republic Factory,,27.97,4.9,15.0,Top Quality Store,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTXHUgPdBld4Do-jXup6AOZI-4elaV3I1sCMrZUN51xodHqXmAFXQnN_bMLLgugB1FsB9WXN-LRIFDA8R-RTV-eT-xgz3IHWJW2Law4ysg5vg6hfq2B-Hvi&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,35.0,SALE,['SALE'],4.6,,ban_q,banana republic shirts,4.9,15.0,-7.030000000000001,0,1,1,0,0,0,1,0,0,0,,
3,Banana Republic Factory Men's Crew Neck Short Sleeve Premium-Wash T Shirts,https://www.amazon.com/Banana-Republic-Premium-Wash-Shirts-X-Large/dp/B0776GTZ57?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A3UJ702XVZL62K,https://www.google.com/shopping/product/17525682969416206165?gl=us,17525682969416206165,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=17525682969416206165,,,,Amazon.com - Seller,,23.97,4.8,101.0,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTdPHXrBDTgK_BU9giV4zdYYcHy-Uu-YlVn2aTahHY-08wCs5jkP7xiFfeDOswKqThNgf4saH2q4DvEM6GcgMBrxmmEdyRVCCcquPvZCOX_A9O_w7OHNsZR&usqp=CAE,$5.99 delivery,,,,,,,ban_q,banana republic shirts,4.8,101.0,0.0,0,0,0,0,0,0,0,1,0,0,,
4,Banana Republic Men Relaxed-fit Cotton Short Sleeve Resort Shirt| M /,https://www.ebay.com/itm/234742505419?chn=ps&mkevt=1&mkcid=28&var=534502086779&srsltid=AfmBOor2vqt6XP_zu2SXZp5FnDc9PzviQQWZU29qLyjHwNfvsvYtzWJ0gkU,https://www.google.com/shopping/product/1?gl=us&prds=pid:5147943894616173224,5147943894616173224,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=5147943894616173224,,,,eBay - uranus7732,,26.95,,,,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcStgrg5QpIh_dYu09E3jo2PGXP7EB6yitlywdMhNfCrUlksOH5APf-4FdPBSEK2YRAQ6p3wigJUqOMDThwZCSkV3ts09SYHFKZ18quAxWh2&usqp=CAE,"Free delivery by Tue, Oct 10",,,,,,,ban_q,banana republic shirts,4.629411764705883,65.0,0.0,0,0,0,0,0,0,0,0,1,0,,
5,Banana Republic Factory Men's Graphic T-Shirt Off White Regular Size L,https://bananarepublicfactory.gapfactory.com/browse/product.do?pid=623423001&vid=1&tid=bfns000001,https://www.google.com/shopping/product/14395237627819619387?gl=us,14395237627819619387,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=14395237627819619387,,,,Banana Republic Factory,,21.0,5.0,4.0,Top Quality Store,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSn4VDRKB_XEmymyjLPUhRY5X3iJtLM8uDcQt16lJ44aZDHXc5z0jasODVwE7TwUEBzs4UGX1QNpgKLqN64CJKPDVLVRJe94zSRMav5WTG6SBmftevAzayu9g&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,35.0,SALE,['SALE'],4.6,,ban_q,banana republic shirts,5.0,4.0,-14.0,0,1,1,0,0,0,1,0,0,0,,
6,Banana Republic Factory Men's Monogram Pique Polo Black Regular Size Xs,https://bananarepublicfactory.gapfactory.com/browse/product.do?pid=753794011&vid=1&tid=bfns000001,https://www.google.com/shopping/product/10298131329258277401?gl=us,10298131329258277401,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10298131329258277401,,,,Banana Republic Factory,,37.97,4.7,574.0,Top Quality Store,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTbRud-GGaV8lnnxps6cjhyvmp7H_F9vCYyQYSeVjOpCZWTro9fmscmxYhd5w2t43G7lu6SzmrC8YHHkGYv7BkJ-9bBuUzuKoP1Jw-eVS_NYrIWYAqE1vYwkA&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,45.0,SALE,['SALE'],4.6,,ban_q,banana republic shirts,4.7,574.0,-7.030000000000001,0,1,1,0,0,0,1,0,0,0,,
7,Banana Republic Factory Shirts | Banana Republic Factory Oxford Slim Fit Untucked ...,https://poshmark.com/listing/Banana-Republic-Factory-Oxford-Slim-Fit-Untucked-Fit-XL-NEW-63decccd02760bada5406bf8?com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e#utm_source=gdm_unpaid,https://www.google.com/shopping/product/17712772575986021720?gl=us,17712772575986021720,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=17712772575986021720,,,,Poshmark,,19.0,,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTeiBw4uuHWzcNihwC0D9QBpKB2bESjg-PccSvxCr006GjAVA58w_fJJ_OYzq-G4WAz1UEHT6h2I7CYR-vskMwVH8EL6l_so1uAHXb1ef4&usqp=CAE,"Delivery by Wed, Oct 11",,30.0,SALE,['SALE'],,,ban_q,banana republic shirts,4.629411764705883,65.0,-11.0,0,1,0,0,0,0,0,0,0,0,,
8,Banana Republic Factory Men's Graphic T-Shirt Mistletoe Regular Size XXL,https://bananarepublicfactory.gapfactory.com/browse/product.do?pid=623114001&vid=1&tid=bfns000001,https://www.google.com/shopping/product/16462102299048239258?gl=us,16462102299048239258,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=16462102299048239258,,,,Banana Republic Factory,,21.0,4.9,14.0,Top Quality Store,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQJXdN3jNUJ5GO8fGPrS5sMK6O1Zm2K-d2R9Nx2GGOAYKhGIZBeI7up_PCT8xAs6eBBcurTVw_OHQKGoY63SsTAJNcti_8X_hvQOVeLF1MWI_iLpG2CBV3v&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,35.0,SALE,['SALE'],4.6,,ban_q,banana republic shirts,4.9,14.0,-14.0,0,1,1,0,0,0,1,0,0,0,,
9,Banana Republic Women's Slub Crew-Neck T-Shirt White Petite Size Xs,https://bananarepublic.gap.com/browse/product.do?pid=817022012&vid=3&tid=brns000051,https://www.google.com/shopping/product/6252065800455882769?gl=us,6252065800455882769,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=6252065800455882769,,,,Banana Republic,,45.0,,,Top Quality Store,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTmrgmG5PoSZZ1na0is9k_4beNZt0ZHcP8ekMzGi5iZREIJRfBAbfR0M9kAoa15-yv6dgusmiaIJOY9vmK28HfUHAbC_zDxwjQbhl7NQ8g3&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,,,,ban_q,banana republic shirts,4.629411764705883,65.0,0.0,0,0,1,0,0,0,1,0,0,0,,
10,Banana Republic Factory Men's Monogram Pique Polo White Regular Size XXL,https://bananarepublicfactory.gapfactory.com/browse/product.do?pid=797981051&vid=1&tid=bfns000001,https://www.google.com/shopping/product/4484613263571471315?gl=us,4484613263571471315,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=4484613263571471315,,,,Banana Republic Factory,,27.0,,,Top Quality Store,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQuH1ZmAvHdwJ_cySeYle67NLAmfekzrRPqzw-2usl2ft6VnIzh7lIOilUWuNVf8u6SFbJuUPecqG9ZdQxs8L2mZz359T1TO_Rjdw3_BqM&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns",,45.0,SALE,['SALE'],4.6,,ban_q,banana republic shirts,4.629411764705883,65.0,-18.0,0,1,1,0,0,0,1,0,0,0,,
