position,title,link,product_link,product_id,serpapi_product_api,source,price,extracted_price,rating,reviews,thumbnail,delivery,extensions,badge,tag,store_rating,store_reviews,number_of_comparisons,comparison_link,serpapi_product_api_comparisons,old_price,extracted_old_price,second_hand_condition,Query_List,Query,Proxy_rating,Proxy_reviews,Discount,Promo_1,Promo_2,Proxy_store,Proxy_seller_1,Proxy_seller_2,Proxy_seller_3,Proxy_seller_4,Proxy_seller_5,Proxy_seller_6,Proxy_seller_7
1,Gap Men's Long Sleeve Woven Top Cypress Plaid 3XL,https://www.samsclub.com/p/gap-mens-long-sleeve-woven-shirt/P03017384,https://www.google.com/shopping/product/17033604482456290041?gl=us,17033604482456290041,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=17033604482456290041,Sam's Club,,17.98,2.9,9.0,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSLoQN5ogdVIL10jUNtHJxQHrn7HZOVRuV4Gy-mlSeq7dVDeCMyWB8UNkjtQEwf3ieKtb_dvXuf-qIgw3_Iaeu3wE2ipWy4m5iZLIKqUuk&usqp=CAE,$8.38 delivery,,,,,,,,,,,,gap_q,gap shirts,2.9,9.0,0.0,0,0,0,0,0,0,0,0,0,0
2,Gap Men's Long Sleeve Untucked Stretch Poplin Button Down Shirt,https://www.amazon.com/GAP-Untucked-Stretch-Gingham-XX-Large/dp/B09V3351RX?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=ATVPDKIKX0DER,https://www.google.com/shopping/product/11399957595839575940?gl=us,11399957595839575940,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11399957595839575940,Amazon.com,,20.34,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQbHSwOFYKZr3QH9-y5BO2HazcVbcX7b6j86YrcMUZX5FwWsBGFENci-03sc5yHGUvYprVEwz5q9m1_AMhuDea-s1EeAMwjSf3LJ092NKztXBOfO7ogs7yz&usqp=CAE,$5.99 delivery,"['$2.40 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.5,2500.0,,,,,,,gap_q,gap shirts,4.404166666666667,134.83333333333334,0.0,1,0,1,0,0,0,0,1,0,0
3,"Gap Men's Lightweight Long Sleeve Button Down Woven Shirt (Merlot, L)",https://www.walmart.com/ip/GAP-Men-s-Lightweight-Long-Sleeve-Button-Down-Woven-Shirt-Merlot-L/3734208254?wmlspartner=wlpa&selectedSellerId=18858,https://www.google.com/shopping/product/2962998581705256982?gl=us,2962998581705256982,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=2962998581705256982,Walmart - Imex Global Enterprises Inc,,15.63,2.9,9.0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRoF6t4uVOv83C3dkcCrhVW_GkGxQY8hEEl3nSDHYdWkMqJhWHVenvHzpPp3cUePunWE53N9_kKJmDBhpV04kg8m0OQQrazOogj4Kf6Gh2eFTMj0MOHKP-BRw&usqp=CAE,$11.98 delivery,"['$1.36 below typical', 'LOW PRICE']",,LOW PRICE,,,3,"https://www.google.com/shopping/product/2962998581705256982/offers?gl=us&hl=en&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&q=gap+shirts&prds=eto:7725091790382138143_0,pid:11985066315391001768,rsk:PC_16522384226796360566&sa=X&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECMIO",https://serpapi.com/search.json?engine=google_product&filter=eto%3A7725091790382138143_0%2Cpid%3A11985066315391001768%2Crsk%3APC_16522384226796360566&hl=en&offers=1&product_id=2962998581705256982&sa=X&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECMIO,,,,gap_q,gap shirts,2.9,9.0,0.0,1,0,0,0,0,0,0,0,0,1
4,"Gap Men's Button Down Long Sleeve Relaxed Fit Oxford Shirt (Dark Shadow, S)",https://www.ebay.com/itm/364254801928?chn=ps&mkevt=1&mkcid=28&var=633764172606&srsltid=AfmBOopvbVTddbx4xUdJpp3Uvg_5h-N_CdKUyFG0tfG6n6VvfC3GVDpNgVo&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,https://www.google.com/shopping/product/5979142594459523001?gl=us,5979142594459523001,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=5979142594459523001,eBay - ewirelessgear,,22.99,3.8,5.0,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRs8zzEeRunqilxjfOpZtWh5ol-dLfcKoWfPrWqMFoKLQ0PPZFoaSOPGYDTOQLxigX4ILpvlwfMb-aZz4l_r1KFY6Uspet-CraJHekO_zytI8DoF8cAISf3vA&usqp=CAE,Free delivery & Free 30-day returns,,Top Quality Store,,,,4,"https://www.google.com/shopping/product/5979142594459523001/offers?gl=us&hl=en&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&q=gap+shirts&prds=eto:1923780179222385868_0,pid:11370965668136783591,rsk:PC_15322885589022565826&sa=X&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECNUO",https://serpapi.com/search.json?engine=google_product&filter=eto%3A1923780179222385868_0%2Cpid%3A11370965668136783591%2Crsk%3APC_15322885589022565826&hl=en&offers=1&product_id=5979142594459523001&sa=X&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECNUO,,,,gap_q,gap shirts,3.8,5.0,0.0,0,0,1,0,0,0,0,0,1,0
5,"Gap Men's Cotton Short Sleeve Pocket Slub Tee (Light Grey Heather, L)",https://ewirelessgear.com/products/gap-mens-cotton-short-sleeve-pocket-slub-tee,https://www.google.com/shopping/product/11282125220105106901?gl=us,11282125220105106901,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11282125220105106901,Ewirelessgear,,28.75,4.2,27.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSDjvvLoKjc2X22QYluIizHCrUNrQwDeaJuPVNu3vhp9DS6FQPBBpzOOl_5-64kEORNihVkRd6UokxegYV9fftj9MIhavJ4Ma900m49dAGOjws_aWTrLwS0&usqp=CAE,Free delivery by Oct 11 & Free 30-day returns,,,,,,3,"https://www.google.com/shopping/product/11282125220105106901/offers?gl=us&hl=en&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&q=gap+shirts&prds=eto:8155500180641506241_0,pid:13378026126078571434,rsk:PC_4964574016130721944&sa=X&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECOQO",https://serpapi.com/search.json?engine=google_product&filter=eto%3A8155500180641506241_0%2Cpid%3A13378026126078571434%2Crsk%3APC_4964574016130721944&hl=en&offers=1&product_id=11282125220105106901&sa=X&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECOQO,,,,gap_q,gap shirts,4.2,27.0,0.0,0,0,0,0,0,0,0,0,0,0
6,"Gap Men's Crew Neck Short Sleeve Pocketed Slub T-Shirt (Blueprint, L)",https://untilgone.com/products/gap-short-sleeve-pocketed-slub-t-shirt.html?sku=SKU3216442&srsltid=AfmBOookB5Ftw03-R0eqWKYlVJ9ad809s1kiq0zIFvZcROnk7SYe4fS95GA,https://www.google.com/shopping/product/16799179443195425981?gl=us,16799179443195425981,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=16799179443195425981,UntilGone.com,,14.99,4.5,19.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTwPuic244G-HuY5yL7figcRKgr0MWd_FPWGMR1zeJSU4r-1GpLYzlNEu8q9W3PPiH7cGr8H76z7UCoUBs9c3H1o4bDjKGyEnZDlSI_q9-xiGPmwLMqTgyMbQ&usqp=CAE,$1.95 delivery,['SALE'],Top Quality Store,SALE,4.2,3900.0,5+,"https://www.google.com/shopping/product/16799179443195425981/offers?gl=us&hl=en&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&q=gap+shirts&prds=eto:5898591429436315321_0,pid:2185893845415048292,rsk:PC_16480265303470326731&sa=X&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECPoO",https://serpapi.com/search.json?engine=google_product&filter=eto%3A5898591429436315321_0%2Cpid%3A2185893845415048292%2Crsk%3APC_16480265303470326731&hl=en&offers=1&product_id=16799179443195425981&sa=X&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECPoO,,29.95,,gap_q,gap shirts,4.5,19.0,-14.959999999999999,0,1,1,0,0,0,0,0,0,0
7,"Gap Men's Long Sleeve Easy Relaxed Fit Button-Down Oxford Shirt (Allure Stripe, XL)",https://pickyourplum.com/products/gap-button-down-oxford-shirt.html?sku=SKU3049234&srsltid=AfmBOopRO47EuP08ccU1qmaIgEupl8jOahDdBUcJZY0RS9TIl33H5KNly00,https://www.google.com/shopping/product/11941893157475237762?gl=us,11941893157475237762,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11941893157475237762,PickYourPlum,,22.99,4.6,51.0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRYnzqSWXv2eCvrMEnOZxaWD7jrZNIV8rzDgh9BJyCp6ogweGuUmlo2NO_-rFy9qeY9uG4E0hpaxlWlmrS_Y-fH91EwMmCRlbXrETIG2nutBb4OpRhQpJ5WgQ&usqp=CAE,Free delivery,['SALE'],,SALE,3.8,414.0,5+,"https://www.google.com/shopping/product/11941893157475237762/offers?gl=us&hl=en&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&q=gap+shirts&prds=eto:15457689666855196996_0,pid:15214179165597685415,rsk:PC_5046297412170298514&sa=X&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECI0P",https://serpapi.com/search.json?engine=google_product&filter=eto%3A15457689666855196996_0%2Cpid%3A15214179165597685415%2Crsk%3APC_5046297412170298514&hl=en&offers=1&product_id=11941893157475237762&sa=X&uule=w+CAIQICINVW5pdGVkIFN0YXRlcw&ved=0ahUKEwiLj8eyiNaBAxV2cfEDHSYrAx8Q3q4ECI0P,,49.95,,gap_q,gap shirts,4.6,51.0,-26.960000000000004,0,1,0,0,0,0,0,0,0,0
8,Gap Factory Boys' Gap Logo T-Shirt Sierra Brown Size M,https://www.gapfactory.com/browse/product.do?pid=438192151&vid=1&tid=gfns000002,https://www.google.com/shopping/product/2630045907610414986?gl=us,2630045907610414986,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=2630045907610414986,Gap Factory,,6.0,,,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcToFruHYU9EIyCJxtbBML2dG9_00UUvmtqQLKHJ6hp57M1lIhTTmV6BBFjz_m8ZJPcLEX_x-NDMLIa_in6J_wHE-evIqbXIq_UeW_X238YDRPIxShD2Z1sx&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$1.49 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap shirts,4.404166666666667,134.83333333333334,0.0,1,0,1,1,1,0,0,0,0,0
9,Men's Classic Cotton T-Shirt by Gap Heather Grey Size M,https://www.gap.com/browse/product.do?pid=440775082&vid=1&tid=gpns000044,https://www.google.com/shopping/product/2468012683680999876?gl=us,2468012683680999876,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=2468012683680999876,Gap,,11.0,4.7,748.0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSG9nKa3kW5ilOBOp9nxkZRp4WHRGvCyKOdL9IZfx-tQhKkO11PIhAeBZ5iNGHIUNpjMmNpbihzo0mgxw9RW4xJ5gAlByIHQCvOQ-rEuV62&usqp=CAE,"Delivery by Mon, Oct 9 · Free 30-day returns","['$4.00 below typical', 'LOW PRICE']",Top Quality Store,LOW PRICE,4.6,,,,,,,,gap_q,gap shirts,4.7,748.0,0.0,1,0,1,1,0,0,0,0,0,0
10,Gap Men's Button-Down Relaxed Fit Long Sleeve Oxford Shirts Variety #MP27,https://www.ebay.com/itm/195808808813?chn=ps&mkevt=1&mkcid=28&var=495663025554&srsltid=AfmBOoo3SU6ZJHBVkxWQX9Rt65nYZCe8xUzoJk5bpym1upIU1Hn1IeHZkc4&com_cvv=d30042528f072ba8a22b19c81250437cd47a2f30330f0ed03551c4efdaf3409e,https://www.google.com/shopping/product/1?gl=us&prds=pid:12455201293464070069,12455201293464070069,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=12455201293464070069,eBay - hdwholesaleapparel,,22.99,,,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSUzjdM7LCbgK_K2nVo63HQfuz9MNKEt-nRSHcVjXIGKG_fjdmS88kHo7vnxDS5jHii3ZCHu-YRvG76uJybEAbulpC3OveWtH7CLoLfnc4MEjb3wumOZQ6twQ&usqp=CAE,"Free delivery by Fri, Oct 6",,,,,,,,,,,,gap_q,gap shirts,4.404166666666667,134.83333333333334,0.0,0,0,0,0,0,0,0,0,1,0
