position,title,link,product_link,product_id,serpapi_product_api,source,price,extracted_price,rating,reviews,extensions,badge,thumbnail,tag,delivery,old_price,extracted_old_price,second_hand_condition,Query_List,Query,Proxy_rating,Proxy_reviews,Discount,Promo_1,Promo_2,Proxy_store,Proxy_seller_1,Proxy_seller_2,Proxy_seller_3,Proxy_seller_4,Proxy_seller_5,Proxy_seller_6,Proxy_seller_7,number_of_comparisons,comparison_link,serpapi_product_api_comparisons,store_rating,store_reviews
1,Old Navy Men's Soft-Washed Crew-Neck T-Shirt - - Size XXL,https://oldnavy.gap.com/browse/product.do?pid=832418402&vid=1&tid=onns000009,https://www.google.com/shopping/product/9641484374243449454?gl=us,9641484374243449454,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=9641484374243449454,Old Navy,,10.0,4.8,9732.0,"['$2.99 below typical', 'LOW PRICE']",Top Quality Store,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQcX_ZX5Q4QqhMhiQbrV_sgk1ypoM0GT5XOYY5MjzVSlU-NV3X-9MgbGmBNbFVs7-6qt2VYbpQd4H8bh-cBUROubdRmc0NQzUN4R8eWdKVM&usqp=CAE,LOW PRICE,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,4.8,9732.0,0.0,1,0,1,0,0,1,0,0,0,0,,,,,
2,Old Navy Women's Everywear Graphic T-Shirt - - Size XXL,https://oldnavy.gap.com/browse/product.do?pid=749252012&vid=1&tid=onns000009,https://www.google.com/shopping/product/15295625717099922956?gl=us,15295625717099922956,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=15295625717099922956,Old Navy,,10.0,4.8,274.0,['SALE'],Top Quality Store,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcSNJLhyvBROu_r5f8PIoQpU2ttF57AStYQqTaXIN9GDrUDV2xLshbA62i93-5-5aY2k1fgQMosLXs5sQ9uCAHh3pqcv4pLwQZIki2tM_0k&usqp=CAE,SALE,"Delivery by Mon, Oct 9 · Free 30-day returns",,14.99,,old_q,old navy shirts,4.8,274.0,-4.99,0,1,1,0,0,1,0,0,0,0,,,,,
3,Old Navy Women's Oversized Vintage Tunic T-Shirt - - Size S,https://oldnavy.gap.com/browse/product.do?pid=654310022&vid=1&tid=onns000009,https://www.google.com/shopping/product/8942221038764209424?gl=us,8942221038764209424,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=8942221038764209424,Old Navy,,22.99,4.6,927.0,,Top Quality Store,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRF3F2KCIK1jbvQNysU9x4o3_LyBU8T_hKA-SmxLaDvUKgUOqIpDDn19HlDUws6IjHhZtiXJlJGdCZg9pBDPjTX6DU2s6a2w6vci1Okgks7&usqp=CAE,,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,4.6,927.0,0.0,0,0,1,0,0,1,0,0,0,0,,,,,
4,Old Navy Men's Soft-Washed Graphic T-Shirt - - Size XL,https://oldnavy.gap.com/browse/product.do?pid=721994022&vid=1&tid=onns000009,https://www.google.com/shopping/product/6499671600224726026?gl=us,6499671600224726026,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=6499671600224726026,Old Navy,,14.99,4.9,34.0,,Top Quality Store,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT_XAxVvCgGt_HLSlnwKI6qXFhVUovNHV4klXKWVzHIUGjQEPCeZe0OsTWYw7ePDMqTwbpS9XgrXQNlzqaLxoEUY5dI6jhMKw6ZDbznrYsBUGG6mLQi0g51&usqp=CAE,,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,4.9,34.0,0.0,0,0,1,0,0,1,0,0,0,0,,,,,
5,Old Navy Women's Everywear T-Shirt - - Size XXL,https://oldnavy.gap.com/browse/product.do?pid=544338002&vid=1&tid=onns000009,https://www.google.com/shopping/product/1479591304207572327?gl=us,1479591304207572327,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=1479591304207572327,Old Navy,,10.0,4.7,463.0,['SALE'],Top Quality Store,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTNfnvApMqsUF-0aYXCTkp2XM9J3bupJ7lhHGI9qkbUIek3U36rdSqcCOnKQYl1MecdUHElX74rtCsvSRDC0zP0DyJUc2K9viBiWBiGiwHkPjmmORRf_FAN&usqp=CAE,SALE,"Delivery by Mon, Oct 9 · Free 30-day returns",,12.99,,old_q,old navy shirts,4.7,463.0,-2.99,0,1,1,0,0,1,0,0,0,0,,,,,
6,Old Navy Men's T-Shirt - Multi - L,https://www.depop.com/products/dragonpepper-dont-wait-until-its-too/?srsltid=AfmBOor6Jn4dptWaUw7rjO1SPAel_91ze9mg1Cfm3kbkAlizNWnfMCOlZsw,https://www.google.com/shopping/product/9985191000747967582?gl=us,9985191000747967582,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=9985191000747967582,Depop,,8.0,,,,,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSy6KIAl47kGF33niWq8a3cXZ5TItgbFHGJfZUVXjSt-0OT0RaHhGDkDddgto9xbtCd1FNxJz4QRAddSzXCTaUniNuWbVp2RLg2c86ZP_uYorIiH-OTGhOtjA&usqp=CAE,,$4.40 delivery,,,used,old_q,old navy shirts,4.720689655172414,833.2068965517242,0.0,0,0,0,0,0,0,0,0,0,0,,,,,
7,Old Navy Women's Vintage Crew-Neck T-Shirt - - Size XXL,https://oldnavy.gap.com/browse/product.do?pid=537388032&vid=1&tid=onns000009,https://www.google.com/shopping/product/2136128638487953625?gl=us,2136128638487953625,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=2136128638487953625,Old Navy,,16.99,4.7,1335.0,,Top Quality Store,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcTXZqieT63QkScMmGAssG3bPNfFEsJNwrzj_hRonn3lSI24cj8LIvQUd8Jfkb10sklIgmuUy-ZXiN9sM3p1EoOq6zWLmltDLul7CAiFtRqnxzUEtrWdG-n_jQ&usqp=CAE,,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,4.7,1335.0,0.0,0,0,1,0,0,1,0,0,0,0,,,,,
8,Old Navy Men's Soft-Washed Printed Crew-Neck T-Shirt - - Size L,https://oldnavy.gap.com/browse/product.do?pid=482213092&vid=1&tid=onns000009,https://www.google.com/shopping/product/2385630191651809942?gl=us,2385630191651809942,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=2385630191651809942,Old Navy,,13.47,4.8,1253.0,['SALE'],Top Quality Store,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTABnDwOOqSdqZT5-HxGFII-daO3opYeyZfYCUztupi6ffc4ou-hCLlOyi8NivKVahnwqWoMW9y4nW0xjK5N8Efu7F_zzHFmqwBiJfEp9plGVEwkwGDnZ6XLA&usqp=CAE,SALE,"Delivery by Mon, Oct 9 · Free 30-day returns",,14.99,,old_q,old navy shirts,4.8,1253.0,-1.5199999999999996,0,1,1,0,0,1,0,0,0,0,,,,,
9,Old Navy Women's Oversized Boyfriend Shirt - - Petite Size XL,https://oldnavy.gap.com/browse/product.do?pid=559368012&vid=3&tid=onns000009,https://www.google.com/shopping/product/10414909466760380858?gl=us,10414909466760380858,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10414909466760380858,Old Navy,,36.99,4.5,931.0,,Top Quality Store,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTgtArUmtJPOR1t4Yc9oBfkLI8jjXXq0phQR6ZYKwYK6yFFdMtIl_4yvnLe4U1Qla9O9T6bLug9L0JvRxUEFkcS7LtG2ox8kYNEFTpAQwg&usqp=CAE,,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,4.5,931.0,0.0,0,0,1,0,0,1,0,0,0,0,,,,,
10,Old Navy Women's Oversized Poplin Boyfriend Shirt - - Size M,https://oldnavy.gap.com/browse/product.do?pid=751832012&vid=1&tid=onns000009,https://www.google.com/shopping/product/10117043321765786549?gl=us,10117043321765786549,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=10117043321765786549,Old Navy,,32.97,4.6,1423.0,"['$4.02 below typical', 'LOW PRICE']",Top Quality Store,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSb_nTltxtoIWhHd28nhq7yzcAZqb6JnVvUZqt_-hEeh6Uq_-YOUfz_MspV5mBW6FKX5RwxwPfRPOeyvKjL75tXQY1gBVbE9PQQH5-I2igA&usqp=CAE,LOW PRICE,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,4.6,1423.0,0.0,1,0,1,0,0,1,0,0,0,0,,,,,
11,Old Navy Women's Vintage T-Shirt - - Size XXL,https://oldnavy.gap.com/browse/product.do?pid=537384002&vid=1&tid=onns000009,https://www.google.com/shopping/product/11251958420082164296?gl=us,11251958420082164296,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=11251958420082164296,Old Navy,,16.99,4.8,1006.0,,Top Quality Store,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQjL5E6zp7YVJnkPN5Lz8T8YaFD-irW1WgV3Eg59XN-8qOaZaKc9nbsB0AmRRUVDSLHZdg2tReEHzg9I7I-jZrMhjCL0NfPFNVURH16fNpvC9Wa7ZmLjbk_3Q&usqp=CAE,,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,4.8,1006.0,0.0,0,0,1,0,0,1,0,0,0,0,,,,,
12,Old Navy Women's Fitted Square-Neck Rib-Knit T-Shirt - - Size S,https://oldnavy.gap.com/browse/product.do?pid=750265032&vid=1&tid=onns000009,https://www.google.com/shopping/product/14665860329245217471?gl=us,14665860329245217471,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=14665860329245217471,Old Navy,,16.0,4.6,31.0,"['$6.99 below typical', 'LOW PRICE']",Top Quality Store,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQUgr9n13anJOy4e2NFi-VwB6CrHWza3wYn_DnIsqj1_MhqCydVlfBFdFtJhh4m39umwT77KxnVTl7XuUGi5N7PKnIfCdl6P9OG6HD8mFU&usqp=CAE,LOW PRICE,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,4.6,31.0,0.0,1,0,1,0,0,1,0,0,0,0,,,,,
13,Old Navy Men's Regular Fit Everyday Poplin Shirt - - Tall Size XL,https://oldnavy.gap.com/browse/product.do?pid=558354002&vid=2&tid=onns000009,https://www.google.com/shopping/product/15992061768845475010?gl=us,15992061768845475010,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=15992061768845475010,Old Navy,,19.97,4.8,178.0,['SALE'],Top Quality Store,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ8rRzobvVVk5BTRFe6iKthWO6HdvbSP35X9sRRWrT_YxV73nhREnUuQc8sdbV2zQeV2zyGTGUwcuIW7Is2gGapSjqM6zJv_cZZCcihT3s&usqp=CAE,SALE,"Delivery by Mon, Oct 9 · Free 30-day returns",,26.99,,old_q,old navy shirts,4.8,178.0,-7.02,0,1,1,0,0,1,0,0,0,0,,,,,
14,Old Navy Women's Everywear Slub-Knit Graphic T-Shirt - - Size XXL,https://oldnavy.gap.com/browse/product.do?pid=749280002&vid=1&tid=onns000009,https://www.google.com/shopping/product/4091507613617321697?gl=us,4091507613617321697,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=4091507613617321697,Old Navy,,10.0,4.7,112.0,['SALE'],Top Quality Store,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR-CPCZUUDg68rfafHmFQALljmbHK7BTlFs9745On2YEUMTIQuFBJE7Q-0369x5NMDGQq9sn7-CtkFn7CsgCNpNouAwZCtnIt14x9W-M0Q&usqp=CAE,SALE,"Delivery by Mon, Oct 9 · Free 30-day returns",,14.99,,old_q,old navy shirts,4.7,112.0,-4.99,0,1,1,0,0,1,0,0,0,0,,,,,
15,Old Navy Men's Soft-Washed Graphic T-Shirt - - Size S,https://oldnavy.gap.com/browse/product.do?pid=795725002&vid=1&tid=onns000009,https://www.google.com/shopping/product/17807848554184218984?gl=us,17807848554184218984,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=17807848554184218984,Old Navy,,14.99,5.0,3.0,,Top Quality Store,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQZuquzZCTZio7sV7Z_LdifRakBsbxcg25FVMDaQjZkFGSGbZbGDP_DZCtaXKmb3acetJjPvyRXRHoHbADIxEadL2dUsVsq2O0AoKtUqEVUjcQPyP98bC9R&usqp=CAE,,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,5.0,3.0,0.0,0,0,1,0,0,1,0,0,0,0,,,,,
16,Old Navy Men's Soft-Washed Graphic T-Shirt - - Size XXL,https://oldnavy.gap.com/browse/product.do?pid=758250012&vid=1&tid=onns000009,https://www.google.com/shopping/product/17708840529411799633?gl=us,17708840529411799633,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=17708840529411799633,Old Navy,,14.99,4.9,139.0,,Top Quality Store,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSFudUqH16snzsHXU2bcXjnp10rylTF5UkWwOk8z4CtjSr9YSHqMK6kKdb3lYvObsn7Czdi1_L-UlbkseCOZtcCxRRQJzcNT-r_oJ1P-V9QGtAcSIcUpCsO&usqp=CAE,,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,4.9,139.0,0.0,0,0,1,0,0,1,0,0,0,0,,,,,
17,Old Navy Women's Everywear Crew-Neck Printed T-Shirt - - Size XXL,https://oldnavy.gap.com/browse/product.do?pid=710368012&vid=1&tid=onns000009,https://www.google.com/shopping/product/16577025860439100925?gl=us,16577025860439100925,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=16577025860439100925,Old Navy,,10.0,4.7,2691.0,['SALE'],Top Quality Store,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRzASO-pK9sRPx6DBmQ4l9qVLFORt9cqPrc0mbi1jIsthpbObeWiwcUJRNMMsxcnczp3IFzylnXofDa_YpgKZf4CGrAGcYGY7Wd8Ihmdsw&usqp=CAE,SALE,"Delivery by Mon, Oct 9 · Free 30-day returns",,14.99,,old_q,old navy shirts,4.7,2691.0,-4.99,0,1,1,0,0,1,0,0,0,0,,,,,
18,Old Navy Men's Soft-Washed Logo T-Shirt - - Size S,https://oldnavy.gap.com/browse/product.do?pid=721972022&vid=1&tid=onns000009,https://www.google.com/shopping/product/6730232623145148907?gl=us,6730232623145148907,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=6730232623145148907,Old Navy,,14.99,4.9,40.0,,Top Quality Store,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRa44VDPhv4_9ePjzvSnwdkB1prt5LQ0T4InGtaVc4_YIwkgiDN9pqI4Hkyxj17nG3Pz2rWxnpoQp_KuVz9BiBGDix-5oVLw21HumyPm4VwDr4DTsyh112e&usqp=CAE,,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,4.9,40.0,0.0,0,0,1,0,0,1,0,0,0,0,,,,,
19,Old Navy Men's Crew-Neck T-Shirt - - Size S,https://oldnavy.gap.com/browse/product.do?pid=752926002&vid=1&tid=onns000009,https://www.google.com/shopping/product/5534431679974959172?gl=us,5534431679974959172,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=5534431679974959172,Old Navy,,10.0,4.9,13.0,['SALE'],Top Quality Store,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRfnQLlQ73RewsWPsvIwayj1BKTiWrINPRXbJ8wCn9De8BegA-JiTGwHRgy2C3wdJepeE4r4NVYVZhrjjLBTOcfz7QZHqu-TEELYit6Vw&usqp=CAE,SALE,"Delivery by Mon, Oct 9 · Free 30-day returns",,14.99,,old_q,old navy shirts,4.9,13.0,-4.99,0,1,1,0,0,1,0,0,0,0,,,,,
20,Old Navy Men's Soft-Washed Graphic T-Shirt - - Size XXXL,https://oldnavy.gap.com/browse/product.do?pid=758250162&vid=1&tid=onns000009,https://www.google.com/shopping/product/9030033644532028097?gl=us,9030033644532028097,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=9030033644532028097,Old Navy,,14.99,4.9,139.0,,Top Quality Store,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcTKb1TmqP4gOu7PPyg5t9uvPjvIlp8rQrLwIwcrX4-15PmggyWWz37xhxL-_V5syaCzbA-aMIXd6BDcqC-0rBLnk77vQrvYtoW9uhDZVRsgxTO5E1UV_1D-&usqp=CAE,,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,4.9,139.0,0.0,0,0,1,0,0,1,0,0,0,0,,,,,
21,Old Navy Women's Satin Boyfriend Shirt - - Petite Size XXL,https://oldnavy.gap.com/browse/product.do?pid=751863032&vid=3&tid=onns000009,https://www.google.com/shopping/product/4208840818767212096?gl=us,4208840818767212096,https://serpapi.com/search.json?device=desktop&engine=google_product&gl=us&google_domain=google.com&hl=en&location=United+States&product_id=4208840818767212096,Old Navy,,30.0,4.4,640.0,"['$9.99 below typical', 'LOW PRICE']",Top Quality Store,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcT-iRtWVM_0E7zRxOcPQ0Nd6z6SAPNKWYpd98n5Qcn8ke2cFNl5oniJYanYaMCdWYEqQU9MD9ZBCnXpfFRxPxHbrk61rtS0grAtvUj3J95H&usqp=CAE,LOW PRICE,"Delivery by Mon, Oct 9 · Free 30-day returns",,,,old_q,old navy shirts,4.4,640.0,0.0,1,0,1,0,0,1,0,0,0,0,,,,,
